08:27:16.344 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/] 
08:27:16.570 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@2c8fb6b: startup date [Thu Sep 14 08:27:15 CST 2017]; root of context hierarchy 
08:27:16.570 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/activate]}" onto public java.lang.String src.main.utweb.controller.ActivateController.activate() 
08:27:16.570 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/getSession]}" onto public src.main.utweb.server.dto.CurrentSessionDto src.main.utweb.controller.CommonController.getSession(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) 
08:27:16.570 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/delSession]}" onto public java.lang.String src.main.utweb.controller.CommonController.delSession(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) 
08:27:16.570 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index]}" onto public java.lang.String src.main.utweb.controller.IndexController.login() 
08:27:16.586 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index/content_list]}" onto public src.main.utweb.server.dto.ResultDto src.main.utweb.controller.IndexController.content_list(java.lang.String,java.lang.String) 
08:27:16.586 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/login]}" onto public java.lang.String src.main.utweb.controller.LoginController.login() 
08:27:16.586 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/login/doSignIn]}" onto public src.main.utweb.server.dto.ResultDto src.main.utweb.controller.LoginController.doSignIn(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String,java.lang.String,java.lang.String) throws java.io.IOException 
08:27:16.586 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/login/buildImage]}" onto public void src.main.utweb.controller.LoginController.buildImage(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,javax.servlet.http.HttpSession) throws java.io.IOException 
08:27:16.586 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/newSubject.do]}" onto public java.lang.String src.main.utweb.controller.NewSubjectController.creatNewSubject() 
08:27:16.586 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/creatNewSubject]}" onto public src.main.utweb.server.dto.ResultDto src.main.utweb.controller.NewSubjectController.creatNewSubject(java.lang.String,java.lang.String,java.lang.String,java.lang.String) 
08:27:16.586 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/register]}" onto public java.lang.String src.main.utweb.controller.RegisterController.register() 
08:27:16.586 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/register/doSignUp]}" onto public src.main.utweb.server.dto.ResultDto src.main.utweb.controller.RegisterController.doSignUp(java.lang.String,java.lang.String,java.lang.String,java.lang.String) 
08:27:16.586 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/addReplyContent]}" onto public src.main.utweb.server.dto.ResultDto src.main.utweb.controller.SubjectContentController.addReplyContent(java.lang.String,java.lang.String,java.lang.String,java.lang.String) 
08:27:16.586 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/subjectContent.do]}" onto public java.lang.String src.main.utweb.controller.SubjectContentController.creatNewSubject() 
